Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2020,26,32.8,28.8,79,8888,3.7,4,320,0,C
02-01-2020,25.5,34.2,28.9,77,1.2,0.8,4,330,1,C
03-01-2020,26.2,34.6,28.7,81,0,2.8,2,280,1,C
04-01-2020,26.2,32.4,28.3,81,5.4,3.6,5,300,1,W
05-01-2020,26.5,34.7,28.5,81,1.4,0,4,230,2,NW
06-01-2020,24.9,34,28.2,80,16.2,4.2,5,330,1,C
07-01-2020,25,33.4,28.7,82,58.5,8.4,6,330,1,C
08-01-2020,26.2,32,28.4,82,1.5,6,6,320,1,C
09-01-2020,26.2,32.5,28.2,81,10,1.2,3,80,1,C
10-01-2020,25,32.8,28.2,84,37,4.8,4,220,1,C
11-01-2020,25,33.6,28.4,78,3.2,3.3,5,290,1,C
12-01-2020,25.9,33.2,29.7,73,4,2.8,3,310,1,C
13-01-2020,26,34,29.1,77,,3,4,330,2,W
14-01-2020,26.5,35.2,29.8,76,0,5.3,4,350,1,C
15-01-2020,27,34.6,29,79,0,7.1,4,310,1,C
16-01-2020,26.5,34.2,29.4,78,2.5,4,3,290,1,C
17-01-2020,26.2,35,29.6,75,,5.9,4,360,1,C
18-01-2020,26.8,34.8,30.2,72,,8,3,280,1,C
19-01-2020,25.8,34.6,29.9,77,26.7,7.6,3,350,1,C
20-01-2020,26.3,33.4,29.2,80,0,5.4,4,70,1,C
21-01-2020,25.8,32.6,28.9,81,6.2,4.1,5,320,1,C
22-01-2020,26.8,35,31,71,,4.7,4,290,1,C
23-01-2020,27.3,32.4,29.5,80,0,8.5,5,90,1,C
24-01-2020,27.2,33.7,29.8,76,1.5,1.5,6,330,1,C
25-01-2020,26.6,34.4,29.6,77,6.4,3.8,5,340,1,C
26-01-2020,25.8,34.6,29.8,73,,5.8,4,360,1,C
27-01-2020,26.6,33,29.7,78,0,9.5,4,350,1,C
28-01-2020,27.2,35.2,30.6,75,1,2,4,330,1,C
29-01-2020,27.2,35.2,30.1,75,,6.5,4,330,1,C
30-01-2020,27.1,35,29.3,77,,6.9,5,200,1,C
31-01-2020,26.2,34.6,29,78,8888,4.4,5,320,1,C
01-02-2020,25.2,33.2,29,81,28,4.5,2,300,0,C
02-02-2020,24.7,33.5,28.2,82,67.4,4.5,6,330,1,C
03-02-2020,25.4,34,28.5,80,0,6.3,6,320,1,C
04-02-2020,25.4,34.2,29.1,79,0,7.6,3,20,1,C
05-02-2020,26,34.2,29.7,78,,8,5,360,1,C
06-02-2020,26,34.8,29.5,76,0.8,8,5,280,1,C
07-02-2020,26.4,32.8,28.6,82,2.5,8.3,6,330,1,C
08-02-2020,25.2,31.4,28,84,33.2,3,7,280,1,C
09-02-2020,25.5,33.4,29.4,80,,2.7,3,260,1,C
10-02-2020,26.4,35.4,29,76,,0.8,5,330,1,C
11-02-2020,25.9,32.4,28.5,83,21.7,7.6,3,340,1,C
12-02-2020,,,,,,,,,,
13-02-2020,26.3,34,29.5,78,0.4,3.5,4,320,1,C
14-02-2020,27.2,32.8,29.4,77,0,5,4,80,1,C
15-02-2020,26.4,34.2,29,78,0.2,2.4,4,330,1,C
16-02-2020,26.5,35.3,28.8,79,,5.1,4,320,1,C
17-02-2020,25.8,31.9,27.7,85,22.5,8.3,4,300,1,C
18-02-2020,24,32,27.4,82,16.1,4.8,5,300,1,C
19-02-2020,25.4,33.4,28.4,83,0,3.1,4,310,1,C
20-02-2020,25.2,30.4,27.5,84,2.5,4.6,3,320,1,C
21-02-2020,25.5,33.4,28.4,82,0,2.5,3,280,1,C
22-02-2020,26,34.4,28.3,85,31.3,6,4,320,1,C
23-02-2020,26,33.2,28.8,83,33,7,6,330,1,C
24-02-2020,26.4,33.2,29.2,81,20,7.5,4,320,1,C
25-02-2020,26.1,34.1,28.7,81,0,6.4,5,320,1,C
26-02-2020,25.8,32.5,28.6,84,33.5,7.2,6,350,1,C
27-02-2020,25.5,33.6,28.9,82,32.4,2.2,4,330,1,C
28-02-2020,25.7,34.2,28.2,85,31.1,4,6,340,1,C
29-02-2020,25.2,33.4,28.9,83,104.5,7.4,6,350,1,C
01-03-2020,26.3,31.5,28.1,85,0,7.5,3,260,1,C
02-03-2020,26,34.2,29.4,80,1.5,2,6,330,1,C
03-03-2020,26.6,34.2,28.8,82,7.5,6.7,5,320,1,C
04-03-2020,26.5,32.4,27.3,89,4.5,7,4,90,1,C
05-03-2020,26,32.9,28.1,84,42.9,4,3,180,1,C
06-03-2020,26.3,33.2,28.3,81,1.6,1,5,270,1,C
07-03-2020,25.2,33.4,28.2,82,10.1,6.2,4,320,1,C
08-03-2020,25.5,33,27.8,86,59.7,5.5,4,340,1,C
09-03-2020,25.8,34.4,28.3,84,31,4.8,3,160,1,C
10-03-2020,25.4,34.4,28.9,78,44.2,6.8,4,320,2,NW
11-03-2020,26.1,33.4,30.1,79,0,6.7,7,320,2,C
12-03-2020,26.5,34.3,30.4,77,0,6.2,4,350,1,C
13-03-2020,27.4,35.3,29.4,79,,8.4,4,330,1,C
14-03-2020,26.2,33.4,28.9,81,40.5,5.7,3,290,0,C
15-03-2020,26.8,34.2,29.3,83,8.5,4.6,2,90,1,C
16-03-2020,26.2,34,29.5,76,25.8,2.5,3,120,1,C
17-03-2020,25.8,33.6,29.7,76,28.3,7,4,120,2,C
18-03-2020,26.2,32.8,27.6,84,24,7.6,5,100,1,C
19-03-2020,26.6,33.4,28.6,80,2,4.4,5,340,1,C
20-03-2020,25.4,33.1,28.8,80,,7.3,3,10,1,C
21-03-2020,26.4,33.9,29.1,80,,5.2,5,340,1,C
22-03-2020,27,34,29.5,78,0,8.1,4,340,1,C
23-03-2020,26.2,34.4,28.7,78,1.7,5.3,4,320,1,C
24-03-2020,24.8,33.4,28.7,82,46.7,6.3,6,320,1,C
25-03-2020,26,34.5,29.5,78,0,6.7,3,80,1,C
26-03-2020,26.2,34.5,29.8,74,2.5,7.3,4,110,1,C
27-03-2020,26.8,34.9,30,74,0,8.7,4,330,1,C
28-03-2020,27.4,34.2,30,78,0,4.8,6,320,1,C
29-03-2020,27,33.6,28.9,82,,4.3,4,350,1,C
30-03-2020,26.4,34.6,29.6,78,1.8,1,3,60,1,C
31-03-2020,27,34.9,30.5,72,0,6.5,7,60,1,C
01-04-2020,27,32.6,29.5,76,0,5.4,4,40,1,C
02-04-2020,27.5,32.5,29.6,78,0,3.2,5,330,1,C
03-04-2020,26.4,33.8,29.2,79,3.9,0.8,3,350,1,C
04-04-2020,25.8,34.3,29.6,81,3.5,4.6,5,130,1,C
05-04-2020,25.4,33,28.6,83,133.9,7.7,4,70,1,C
06-04-2020,26.6,33.2,28,85,,4.3,4,180,0,C
07-04-2020,25.2,33.6,28.5,79,8.9,2.5,4,340,1,C
08-04-2020,25.2,34.4,28.2,83,13.7,6.3,5,320,0,C
09-04-2020,25,34,29.1,77,8888,5.4,5,130,2,C
10-04-2020,25.6,34,29.2,79,33.3,8.4,5,100,1,C
11-04-2020,25.9,33.6,28.9,82,14.1,7.3,4,70,1,C
12-04-2020,25.4,33.5,29.4,78,43.2,7.7,3,110,1,C
13-04-2020,25.7,33.5,29.2,79,27,7.6,4,320,1,C
14-04-2020,25,33.6,29,80,82.8,8.8,5,40,1,C
15-04-2020,26.2,34.2,30.1,76,,8.8,3,150,1,C
16-04-2020,27.4,34.2,30.1,76,0,8.6,6,330,1,C
17-04-2020,25.8,32.6,28.2,85,22.7,6.2,3,340,1,C
18-04-2020,26.2,32.8,28.7,84,5.5,0.5,4,310,1,C
19-04-2020,26.2,31.5,28.5,84,1,3.5,2,330,0,C
20-04-2020,26.7,34.6,30.3,77,7.5,2.9,4,90,1,C
21-04-2020,26.4,34.3,29.8,79,23,9.6,6,100,2,E
22-04-2020,27,34.4,30.5,77,,8.7,6,130,3,E
23-04-2020,27.8,34.8,30.9,74,,9.2,7,120,3,E
24-04-2020,27,34.2,30.3,70,0,9,7,70,2,E
25-04-2020,27.8,34.6,30.3,74,0,8.6,4,130,1,C
26-04-2020,26.5,33.9,29.5,78,7,6.4,6,120,1,C
27-04-2020,26.7,34.4,30,76,0,4.8,5,90,2,C
28-04-2020,27.3,33.2,29.9,74,,9,4,40,1,C
29-04-2020,26.8,33.9,29.1,74,0,2.7,4,100,2,E
30-04-2020,25.8,33,29.5,76,5,5.8,3,130,1,C
01-05-2020,26.8,34.4,29.9,74,,4,4,80,2,E
02-05-2020,26.6,34.6,29.9,68,0,7.7,6,80,2,C
03-05-2020,27.2,33.6,29.5,76,0.8,9.3,4,130,1,C
04-05-2020,27.3,34,29.8,74,1,5,4,100,2,E
05-05-2020,27.8,34.5,30.6,76,0,8.6,4,90,1,C
06-05-2020,27.6,34.4,30.5,74,0,5,6,140,2,E
07-05-2020,26.7,35.3,29.9,76,0,9.1,5,90,2,E
08-05-2020,26.6,35,30.6,74,,9.5,7,100,2,E
09-05-2020,26.5,34.2,29,80,0.8,8.8,5,80,2,E
10-05-2020,23.8,34.2,29.4,79,12.3,4.7,4,120,1,C
11-05-2020,26.4,33,29.1,79,0.5,6.7,5,110,2,C
12-05-2020,,33.9,29.8,74,,3.7,6,110,2,E
13-05-2020,27.3,34.3,30.4,68,0,7.8,6,90,2,E
14-05-2020,27.5,33.5,29.8,72,0,9.6,5,110,2,E
15-05-2020,26.3,34.2,29.6,72,0,7.1,6,100,2,E
16-05-2020,26.6,35.2,30.1,73,0,7.9,5,110,2,E
17-05-2020,27.2,35,30.4,72,,9.5,4,120,2,C
18-05-2020,27.2,33.2,29.2,78,0,8.4,4,80,1,C
19-05-2020,25.8,34.6,29.5,77,0.1,1.5,4,80,1,C
20-05-2020,25.8,34.6,29.2,78,8888,7,4,90,1,C
21-05-2020,26.7,29.5,27.7,88,6.7,6.4,3,280,0,C
